price,ret_1d,adv_rm,momentum_6m,momentum_2w,zscore_5d,realized_vol,above_ma50,name,tv_symbol,sector
5.62,0.0017825311942958333,2378265.1,0.1022304832713754,0.005366726296959001,-0.8038207292202966,0.1631874262472077,False,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.18,0.008547008547008517,9382462.25,0.2574850299401199,0.1132075471698113,0.23195883641721046,0.49693279901750087,True,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.615,0.008196721311475308,5431558.2,0.6301369863013699,-0.016000000000000014,-0.13710231381912408,1.9080469708628627,False,Oppstar Berhad,OPPSTAR,Electronic Technology
0.445,0.0,1617028.8,-0.28671328671328666,0.011363636363636465,0.600961765324069,0.46961170514127026,False,Supercomnet Technologies Bhd.,SCOMNET,Producer Manufacturing
2.28,0.05069124423963123,35001426.85,0.21621621621621623,0.05069124423963123,0.31111003487959193,0.5195655313984284,True,Inari Amertron Berhad,INARI,Electronic Technology
2.9,-0.003436426116838587,1907695.6,0.03690036900368998,0.0,-0.3168389153834297,0.35908077935109467,True,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
2.07,0.0,6939606.9,0.18181818181818188,0.11891891891891881,0.4491076603243465,0.44039955001942876,True,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.765,0.0,1309974.05,0.04225352112676051,-0.019230769230769273,-0.6292378466333445,0.2633195972006079,True,Leong Hup International Bhd.,LHI,Process Industries
5.78,0.00521739130434784,2133237.05,0.28361858190709044,0.07635009310986973,0.062134166844671726,0.25322782729821186,True,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.08,0.018867924528301883,1440636.3,0.03883495145631066,0.018867924528301883,0.1645156863580749,0.2489110729129668,False,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.305,-0.08955223880597019,35476477.95,-0.8771929824561403,0.6486486486486487,0.8227592025818087,2.107842202325005,False,Tanco Holdings Bhd.,TANCO,Finance
0.7,0.02941176470588225,5672302.75,0.5697674418604652,0.0,-0.009691789007057578,0.517775260688676,True,CBH Engineering Holding Berhad,CBHB,Utilities
4.59,0.0021834061135370675,13294100.85,0.06388206388206386,0.06993006993006978,-0.27819321309255085,0.18743670426406792,True,IOI Corporation Berhad,IOICORP,Process Industries
0.84,0.0,1055786.525,-0.04519774011299438,-0.00591715976331364,1.2684557210777367,0.07154788334503209,False,KIP Real Estate Investment Trust,KIPREIT,Finance
0.5,0.0,3304887.125,-0.1271186440677965,0.010101010101010166,0.7844147764624866,0.4615228745348056,True,SNS Network Technology Bhd.,SNS,Technology Services
1.07,0.01904761904761898,3637037.2,0.8918918918918919,0.11458333333333348,1.3844467862837413,0.6023451239008147,True,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
0.23,-0.02127659574468077,1853575.15,-0.23529411764705888,0.022222222222222143,0.46410283151404097,0.6587920009775522,False,Malton Bhd.,MALTON,Finance
1.02,0.020000000000000018,6004563.025,0.028571428571428692,0.030303030303030276,0.5121104090602433,0.4572750663321153,False,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.66,0.010277492291880685,9060156.4,-0.024973985431841816,0.0061412487205732,0.5831313174082665,0.3075032236987825,True,Petronas Dagangan Bhd.,PETDAG,Distribution Services
5.19,-0.011428571428571344,116897979.3,0.13272311212814647,0.05702647657841142,1.8135796566490068,0.19428402759573077,True,Public Bank Bhd,PBBANK,Finance
44.66,0.0337962962962961,16359234.5,0.5652446675031368,-0.025316455696202667,-0.30142862838698836,0.46427237897118867,False,Malaysian Pacific Industries Bhd.,MPI,Electronic Technology
0.36,-0.013698630136986356,2604714.425,0.21666666666666679,0.0,-0.9958575655211679,0.17702953367855973,False,JAG Berhad,JAG,Industrial Services
7.96,0.0012578616352201255,14426276.95,0.10519125683060104,0.012722646310432628,0.45477726528029333,0.19654925607567303,False,MISC Bhd,MISC,Transportation
3.6,0.016949152542372836,11804363.95,-0.09762532981530347,0.04347826086956519,0.349067605509092,0.31938947224382563,True,Maxis Bhd.,MAXIS,Communications
0.745,0.006756756756756799,1037129.45,-0.189873417721519,0.04929577464788748,0.09709792819954478,0.4446299138543649,True,Aurelius Technologies Bhd.,ATECH,Electronic Technology
1.83,0.0,1137295.6,0.31690140845070447,0.05780346820809257,-0.1879260250325053,0.4613554246257573,True,Scicom (MSC) Bhd.,SCICOM,Commercial Services
3.18,-0.009345794392523255,15979519.65,0.20676691729323293,-0.0031347962382444194,-0.08787087509137735,0.21702020155420929,False,KPJ Healthcare Bhd.,KPJ,Health Services
2.37,0.025974025974025983,2208527.75,-0.187279151943463,0.0304347826086957,1.2182223458289287,0.4179147861596859,True,Farm Fresh Bhd.,FFB,Consumer Non-Durables
0.325,0.015625,5225478.2,1.0,0.12068965517241392,0.505385300472603,1.0373826966310058,True,SFP Tech Holdings Bhd,SFPTECH,Industrial Services
2.25,-0.013157894736842035,7531565.5,0.0,0.008968609865470878,0.5414512499340199,0.22005669219744656,False,Sunway Real Estate Investment Trust,SUNREIT,Finance
0.72,0.006993006993007089,2346820.225,0.21052631578947367,0.02127659574468077,0.11904058780981319,0.12689213531589036,True,Solar District Cooling Group Bhd.,SDCG,Industrial Services
18.34,-0.025504782146652527,1328786.6,0.04804469273743028,-0.018201284796573902,-1.3506483607875157,0.13669371671996894,False,Hong Leong Financial Group Bhd.,HLFG,Finance
0.625,-0.007936507936507908,8374402.0,0.034782608695652195,-0.04580152671755733,-0.6214092145694534,0.5580375983644853,True,UEM Sunrise Bhd.,UEMS,Finance
0.165,0.0,2655132.85,0.18518518518518512,0.03125,-0.35618244060327414,0.45496287165731647,True,Land & General Bhd.,L&G,Finance
1.74,0.0235294117647058,3119209.8,0.0691823899371069,0.054545454545454675,0.4336641912265157,0.3324583774847213,False,Dayang Enterprise Holdings Bhd.,DAYANG,Industrial Services
0.53,0.019230769230769162,1183017.9,-0.22680412371134018,0.04950495049504955,0.057176318325647055,0.4954848811940978,True,UUE Holdings Berhad,UUE,Industrial Services
17.62,0.010321100917431103,7703803.5,0.01279069767441876,0.006857142857142895,0.6045700717035067,0.14631977278339733,True,Petronas Gas Bhd.,PETGAS,Utilities
0.945,0.0,3957046.325,0.28301886792452824,0.0,0.06556535524032006,0.45438847344159433,False,S P Setia Bhd.,SPSETIA,Finance
3.21,0.0031249999999998224,1384825.6,-0.014749262536873253,-0.021341463414634054,-0.24706382037117888,0.19799994487795192,False,Syarikat Takaful Malaysia Keluarga Bhd.,TAKAFUL,Finance
7.52,0.01621621621621605,14302445.05,0.27118644067796605,0.017591339648173276,-0.4921192924012912,0.25100762589339265,True,Sunway Construction Group Bhd.,SUNCON,Industrial Services
1.81,-0.005494505494505475,8040422.8,-0.11504424778761058,-0.07653061224489788,-1.2746122417635504,0.29327167127302717,False,Yinson Holdings Bhd.,YINSON,Producer Manufacturing
22.24,-0.00891265597147961,16567745.9,0.041353383458646586,0.020183486238531945,0.6185069492803495,0.18702573700482,True,Hong Leong Bank Bhd,HLBANK,Finance
4.6,0.0,5680927.65,0.06896551724137945,-0.05737704918032793,-1.172544893552964,0.2542392898794908,False,Itmax System Bhd,ITMAX,Commercial Services
1.51,0.0,1908486.35,-0.013698630136986356,0.05594405594405605,-0.24398343954392643,0.5130032752218365,True,Life Water Bhd.,LWSABAH,Consumer Non-Durables
2.91,0.02464788732394374,8043460.55,0.68944099378882,0.0174825174825175,0.0412799867877,0.39303213233409023,True,MN Holdings Bhd.,MNHLDG,Industrial Services
4.48,0.022831050228310668,15220594.35,0.4506172839506173,-0.006651884700665023,-0.5562805946491323,0.5341920710899855,False,Unisem (M) Bhd.,UNISEM,Electronic Technology
1.99,-0.0050000000000000044,20580348.5,-0.04285714285714304,-0.029268292682926744,-0.15146720775914604,0.3896895144428686,False,YTL Corp Bhd.,YTL,Utilities
0.81,0.012499999999999956,2487270.45,0.4700854700854702,-0.006134969325153228,0.009235940461446577,0.3602607651237766,True,Powerwell Holdings Bhd.,PWRWELL,Producer Manufacturing
1.98,0.010204081632652962,1526563.3,0.2058823529411764,-0.010000000000000009,0.19326142995054532,0.3093362600687904,False,Ranhill Utilities Bhd.,RANHILL,Utilities
0.81,0.031847133757961776,5586789.15,-0.3632075471698113,0.14893617021276606,1.7450778493664578,0.2735831206870854,True,Ramssol Group Bhd.,RAMSSOL,Technology Services
15.0,0.0,1411509.3,0.03835616438356171,0.006711409395973034,-0.8865452670827023,0.12188777039009338,False,LPI Capital Bhd,LPI,Finance
6.53,0.06178861788617884,18231690.2,0.09289617486338786,0.08471760797342198,1.7646714061908044,0.19969912114060437,True,Westports Holdings Bhd.,WPRTS,Transportation
1.82,0.0,2234182.3,-0.09905660377358494,-0.0267379679144385,-0.8392103266190513,0.21653215631664183,False,Genting Malaysia Bhd.,GENM,Consumer Services
0.59,-0.0852713178294574,2346332.425,2.9375,-0.0992366412213741,-0.9138905954514757,0.9479448655171518,True,Hartanah Kenyalang Bhd,HKB,Industrial Services
0.83,0.0,3715428.725,0.2137404580152671,0.024691358024691246,-0.5729351476442865,0.40458147231950137,True,XL Holdings Bhd,XL,Process Industries
1.24,-0.015873015873015928,2690637.4,-0.1287878787878789,0.0,0.12749860287113587,0.24702724730534442,False,Matrix Concepts Holdings Bhd.,MATRIX,Finance
34.6,0.0,14489837.2,0.13245492371705958,0.032835820895522394,-0.4999224582986792,0.2538531946771824,True,United Plantations Bhd.,UTDPLT,Process Industries
2.32,0.03111111111111109,13440474.9,0.35443037974683556,-0.021097046413502185,-0.1189703266796442,0.5323098199303244,True,Dufu Technology Corp. Bhd.,DUFU,Electronic Technology
0.88,0.005714285714285783,14680001.7,-0.005555555555555536,0.005714285714285783,1.0027863823777992,0.07898939141519373,False,Central Global Bhd,CGB,Consumer Durables
1.63,0.018749999999999822,1786250.15,-0.12182741116751272,-0.06857142857142862,0.5048344528129227,0.37355435059791303,False,Lim Seong Hai Capital Bhd,LSH,Distribution Services
0.565,0.008928571428571175,1942512.55,0.26923076923076916,-0.025862068965517238,-0.7471968870383316,0.5002074065458126,True,Qes Group Bhd,QES,Electronic Technology
1.96,-0.005076142131979711,2914834.75,0.8932038834951455,0.00512820512820511,-0.34050280851411086,0.8953673713458735,True,MKH Berhad,MKH,Finance
1.58,-0.0062893081761006275,2254197.6,-0.23936170212765961,0.11267605633802824,3.768620519659525,0.3832519041447996,True,Padini Holdings Bhd.,PADINI,Retail Trade
0.175,0.0,1036230.525,-0.36842105263157887,-0.02777777777777779,0.9369295970984072,0.4914276275911418,False,Perak Transit Bhd.,PTRANS,Transportation
2.98,0.006756756756756799,7508228.0,-0.13622291021671828,0.03832752613240409,0.13200772043522604,0.28049921673724265,True,CelcomDigi Berhad,CDB,Communications
18.8,0.0010649627263046302,4450065.4,0.11600587371512483,0.002132196162046851,-0.5420961466379047,0.5647607075828511,True,Ajinomoto (Malaysia) Bhd.,AJI,Consumer Non-Durables
4.87,0.03837953091684421,10951219.4,0.6909722222222223,0.04956896551724155,-0.10464077946892227,0.5089330295400439,True,Mi Technovation Bhd.,MI,Producer Manufacturing
2.31,0.03587443946188351,9947658.45,0.08133971291866016,-0.04938271604938271,0.005298483981972139,0.4677447610418061,True,Southern Cable Group Bhd.,SCGBHD,Producer Manufacturing
0.16,0.0,4542629.7,0.2142857142857142,0.7777777777777779,1.0138476781816963,1.4364425445434932,True,HHRG BERHAD,HHRG,Non-Energy Minerals
0.4,0.012658227848101333,3151187.65,-0.26724137931034475,-0.05882352941176461,-0.42124064619606977,0.531771317485538,False,WCT Holdings Bhd.,WCT,Industrial Services
92.66,-0.008347602739726012,8199371.4,-0.13858549686660704,0.020934332304979986,0.5200097408733285,0.2873096829066431,False,Nestle (Malaysia) Bhd.,NESTLE,Consumer Non-Durables
1.07,0.028846153846153966,1345319.35,-0.21739130434782594,-0.027272727272727337,-0.33201892140750516,0.30106297631363904,False,Cahya Mata Sarawak Bhd.,CMSB,Non-Energy Minerals
0.3,-0.016393442622950838,4211549.375,-0.5483870967741935,0.05263157894736836,1.2912305922106584,0.5708562157625067,False,SKP Resources Bhd.,SKPRES,Producer Manufacturing
0.31,-0.015873015873015928,4222383.475,-0.10256410256410264,-0.08823529411764708,-0.9085393656912418,0.4733886884887479,False,Malaysian Resources Corp. Bhd.,MRCB,Industrial Services
1.37,0.0,1002548.35,-0.03703703703703709,0.014814814814814836,1.0276644978866338,0.2509252621992982,True,Sports Toto Berhad,SPTOTO,Consumer Services
1.88,0.010752688172043001,14823075.2,0.5826086956521741,0.06818181818181812,0.5614210565630692,0.5359634597530762,True,EG Industries Bhd.,EG,Consumer Durables
1.95,-0.010152284263959421,1381878.9,0.375886524822695,-0.015151515151515138,-0.786394054430782,0.1832968105829785,True,OSK Holdings Bhd.,OSK,Finance
8.37,-0.01875732708089095,35950447.65,0.14189189189189166,0.014545454545454417,-0.41809279179160797,0.11802432689834438,True,RHB Bank Bhd.,RHBBANK,Finance
1.07,0.01904761904761898,1567797.35,0.4583333333333335,0.028846153846153966,0.6462347454530184,0.3568421881996267,True,Bermaz Auto Berhad,BAUTO,Retail Trade
2.4,0.048034934497816595,11388764.95,0.07239819004524883,0.048034934497816595,0.8592354514561453,0.27158655408534377,True,IJM Corporation Berhad,IJM,Industrial Services
2.0,0.0,15378698.15,0.14193548387096766,0.1049723756906078,0.7532715540555085,0.2740101837837246,True,Johor Plantations Group Bhd,JPG,Process Industries
0.665,0.01526717557251911,14879018.325,0.1428571428571428,-0.022058823529411797,0.2565461187898061,0.4571075458447678,False,Top Glove Corporation Bhd.,TOPGLOV,Health Technology
4.79,-0.002083333333333326,27402733.1,0.18203309692671388,0.0020920502092049986,-0.6469451743814861,0.2832606199991497,False,Frontken Corp. Bhd.,FRONTKN,Electronic Technology
2.12,-0.009345794392523366,4049074.65,0.06403940886699533,0.019230769230769162,0.06788130692944402,0.2789594564314885,True,Eco World Development Group Bhd.,ECOWLD,Finance
0.385,0.0,1470522.15,0.026315789473684292,-0.012820512820512886,-0.05297010220257714,0.13301805775468042,False,Kinergy Advancement Bhd,KINERGY,Industrial Services
0.36,0.0,1855055.925,0.06349206349206349,-0.06493506493506496,-1.2753046414600906,0.3506957340662432,True,JCY International Bhd.,JCY,Electronic Technology
2.27,0.0,2487823.8,0.04035874439461873,-0.004385964912280604,0.4643592349879173,0.1476423811616268,False,Affin Bank Bhd.,AFFIN,Finance
8.5,0.0,37238491.25,0.03165298944900363,0.020408163265306145,0.2817780789842887,0.15796666149810423,False,IHH Healthcare Bhd.,IHH,Health Services
2.37,0.025974025974025983,3185005.35,0.7762237762237763,-0.012499999999999956,0.2302757348962096,0.48566984572600397,True,TMK Chemical Bhd,TMK,Process Industries
4.91,0.0,17555395.65,0.28608923884514437,0.04914529914529919,0.5377074175579853,0.4916192230165547,True,Pentamaster Corp. Bhd.,PENTA,Producer Manufacturing
4.54,0.013392857142856984,4347257.35,0.31367292225201093,-0.09199999999999997,-0.6318913974835915,0.5497906874030362,False,SAM Engineering & Equipment (M) Bhd,SAM,Producer Manufacturing
0.17,0.0,1260862.2,0.02941176470588225,-0.02857142857142847,-1.2926465602145416,0.23563259295395392,True,MAG Holdings Berhad,MAG,Process Industries
0.87,0.0235294117647058,2055890.35,0.017857142857142794,0.01754385964912286,1.7292151369361002,0.09992291668560448,True,Ecomate Holdings Bhd.,ECOMATE,Consumer Durables
2.14,0.0,2016171.55,-0.03964757709251099,0.0,0.20472841503820224,0.15287837569398266,False,Bank Islam Malaysia Bhd.,BIMB,Finance
0.35,0.02941176470588225,1330649.05,0.20512820512820507,0.0,-0.3404945146749531,0.8146911490715958,True,VisDynamics Holdings Bhd.,VIS,Electronic Technology
1.43,0.05925925925925912,4667059.15,0.3717948717948718,0.36190476190476173,0.8366491473730449,0.659452775995318,True,Hengyuan Refining Company Bhd,HENGYUAN,Energy Minerals
1.74,0.029585798816567976,5071481.05,1.1910828025477707,0.08074534161490665,1.4885443914996517,0.33407953851452554,True,Mega Fortris Berhad,MEGAFB,Producer Manufacturing
4.24,0.0,40046798.0,0.2660550458715596,-0.02304147465437778,-0.5922300160533205,0.29480992997803296,True,YTL Power International Bhd.,YTLPOWR,Utilities
0.28,-0.01754385964912264,3209143.25,0.96875,-0.06666666666666654,-0.7334348023054258,0.6528365364402825,False,Marine & General Bhd,M&G,Industrial Services
0.97,-0.015228426395939132,2019202.75,-0.009345794392523366,-0.07619047619047625,-0.4193823258658682,0.38157271511673574,False,DRB-Hicom Bhd.,DRBHCOM,Consumer Durables
1.25,0.0,1331552.2,-0.016949152542372947,0.024590163934426146,-0.09355905509372113,0.2962632715604561,True,Tropicana Corp. Bhd.,TROP,Finance
3.06,0.02684563758389258,9262100.75,0.04482758620689653,0.003278688524590345,0.4675532630115156,0.3512058048648306,True,Solarvest Holdings Bhd,SLVEST,Industrial Services
0.665,-0.007462686567164201,2199717.65,-0.055172413793103336,0.0,-0.19776120769375954,0.2760703453019727,False,Cypark Resources Bhd.,CYPARK,Utilities
